dictionary,type
symbiosis,descriptor
mutualism,descriptor
obligate,descriptor
facultative,descriptor
commensalim,descriptor
parasitism,descriptor
parasite,descriptor
competition,descriptor
competitor,descriptor
amensalims,descriptor
explotation,descriptor
competitive,descriptor
parasitoidism,descriptor
predation,descriptor
neutralism,descriptor
facilitation,descriptor
